1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
1072,IL,Illinois,11,n/a,,Jon,Harlson,"Harlson, Jon",,W,,,,,13,0.00422933401002678%,,,,,,,
1073,IL,Illinois,11,n/a,,,,,District Votes:,,101615,,,,307377,,,,,,,,
1074,IL,Illinois,12,H4IL12060,(I),Mike,Bost,"Bost, Mike",,R,40222,100%,,,194839,60.4309339486874%,,,,,W,W,
1075,IL,Illinois,12,n/a,,,,,Party Votes:,R,40222,,,,,,,,,,,,
1076,IL,Illinois,12,H0IL12100,,Raymond C.,Lenzi,"Lenzi, Raymond C.",,D,27015,50.341948828802%,,,127577,39.5690660513126%,,,,,W,,
1077,IL,Illinois,12,H0IL12092,,Joel D.,Funk,"Funk, Joel D.",,D,26648,49.658051171198%,,,,,,,,,,,
1078,IL,Illinois,12,n/a,,,,,Party Votes:,D,53663,,,,,,,,,,,,
1079,IL,Illinois,12,n/a,,,,,District Votes:,,93885,,,,322416,,,,,,,,
1080,IL,Illinois,13,H2IL13120,(I),Rodney ,Davis,"Davis, Rodney ",,R,36668,100%,,,181373,54.4629317670657%,,,,,W,W,
1081,IL,Illinois,13,n/a,,,,,Party Votes:,R,36668,,,,,,,,,,,,
1082,IL,Illinois,13,H8IL13150,,Betsy Dirksen,Longdrigan,"Longdrigan, Betsy Dirksen",,D,48766,76.4633018172696%,,,151648,45.5370682329343%,,,,,W,,
1083,IL,Illinois,13,H0IL13066,,Stefanie,Smith,"Smith, Stefanie",,D,15011,23.5366981827305%,,,,,,,,,,,
1084,IL,Illinois,13,n/a,,,,,Party Votes:,D,63777,,,,,,,,,,,,
1085,IL,Illinois,13,n/a,,,,,District Votes:,,100445,,,,333021,,,,,,,,
1086,IL,Illinois,14,H8IL14174,(I),Lauren,Underwood,"Underwood, Lauren",,D,77707,100%,,,203209,50.6689905548408%,,,,,W,W,
1087,IL,Illinois,14,n/a,,,,,Party Votes:,D,77707,,,,,,,,,,,,
1088,IL,Illinois,14,H8IL14083,,Jim ,Oberweis,"Oberweis, Jim ",,R,13333,25.5946096404507%,,,197835,49.3290146913617%,,,,,W,,
1089,IL,Illinois,14,H0IL14189,,Sue,Rezin,"Rezin, Sue",,R,11879,22.8034476801106%,,,,,,,,,,,
1090,IL,Illinois,14,H0IL14197,,Catalina ,Lauf,"Lauf, Catalina ",,R,10451,20.0621964563377%,,,,,,,,,,,
1091,IL,Illinois,14,H0IL14163,,Ted,Gradel,"Gradel, Ted",,R,6979,13.3971934808899%,,,,,,,,,,,
1092,IL,Illinois,14,H8IL16153,,"James T. ""Jim"" ",Marter,"Marter, James T. ""Jim"" ",,R,5724,10.988040619661%,,,,,,,,,,,
1093,IL,Illinois,14,H0IL14213,,Jerry ,Evans,"Evans, Jerry ",,R,2609,5.00835045015645%,,,,,,,,,,,
1094,IL,Illinois,14,H0IL14205,,Anthony,Catella,"Catella, Anthony",,R,1118,2.1461616723936%,,,,,,,,,,,
1095,IL,Illinois,14,n/a,,,,,Party Votes:,R,52093,,,,,,,,,,,,
