1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
2915,PA,Pennsylvania,01,n/a,,,,,Party Votes:,D,92675,,,,,,,,,,,,
2916,PA,Pennsylvania,01,n/a,,,Scattered,Scattered,,W,,,,,969,0.218909833547198%,,,,,,,
2917,PA,Pennsylvania,01,n/a,,,,,District Votes:,,168715,,,,442648,,,,,,,,
2918,PA,Pennsylvania,02,H4PA13199,(I),Brendan F.,Boyle,"Boyle, Brendan F.",,D,73980,100%,,,198140,72.4733629118096%,,,,,W,W,
2919,PA,Pennsylvania,02,n/a,,,,,Party Votes:,D,73980,,,,,,,,,,,,
2920,PA,Pennsylvania,02,H8PA02110,,David,Torres,"Torres, David",,R,14010,100%,,,75022,27.440681499797%,,,,,W,,
2921,PA,Pennsylvania,02,n/a,,,,,Party Votes:,R,14010,,,,,,,,,,,,
2922,PA,Pennsylvania,02,n/a,,,Scattered,Scattered,,W,,,,,235,0.0859555883934352%,,,,,,,
2923,PA,Pennsylvania,02,n/a,,,,,District Votes:,,87990,,,,273397,,,,,,,,
2924,PA,Pennsylvania,03,H6PA02171,(I),Dwight,Evans,"Evans, Dwight",,D,164871,100%,,,341708,90.9044474830938%,,,,,W,W,
2925,PA,Pennsylvania,03,n/a,,,,,Party Votes:,D,164871,,,,,,,,,,,,
2926,PA,Pennsylvania,03,H0PA03347,,Michael,Harvey,"Harvey, Michael",,R,5020,100%,,,33671,8.95748314702393%,,,,,W,,
2927,PA,Pennsylvania,03,n/a,,,,,Party Votes:,R,5020,,,,,,,,,,,,
2928,PA,Pennsylvania,03,n/a,,,Scattered,Scattered,,W,,,,,519,0.138069369882255%,,,,,,,
2929,PA,Pennsylvania,03,n/a,,,,,District Votes:,,169891,,,,375898,,,,,,,,
2930,PA,Pennsylvania,04,H8PA04116,(I),Madeleine,Dean,"Dean, Madeleine",,D,122657,99.9910327061662%,,,264637,59.4697906039183%,,,,,W,W,
2931,PA,Pennsylvania,04,n/a,,,Scattered,Scattered,,W(D),11,0.00896729383376268%,,,,,,,,,,,
2932,PA,Pennsylvania,04,n/a,,,,,Party Votes:,D,122668,,,,,,,,,,,,
2933,PA,Pennsylvania,04,H0PA04279,,Kathy,Barnette,"Barnette, Kathy",,R,58571,99.984636394674%,,,179926,40.4333541575842%,,,,,W,,
2934,PA,Pennsylvania,04,n/a,,,Scattered,Scattered,,W(R),9,0.0153636053260498%,,,,,,,,,,,
2935,PA,Pennsylvania,04,n/a,,,,,Party Votes:,R,58580,,,,,,,,,,,,
2936,PA,Pennsylvania,04,n/a,,,Scattered,Scattered,,W,,,,,431,0.0968552384975977%,,,,,,,
2937,PA,Pennsylvania,04,n/a,,,,,District Votes:,,181248,,,,444994,,,,,,,,
2938,PA,Pennsylvania,05,H8PA07200,(I),Mary Gay,Scanlon,"Scanlon, Mary Gay",,D,103194,99.6369605098001%,,,255743,64.6192602250303%,,,,,W,W,
2939,PA,Pennsylvania,05,n/a,,,Scattered,Scattered,,W(D),376,0.363039490199865%,,,,,,,,,,,
2940,PA,Pennsylvania,05,n/a,,,,,Party Votes:,D,103570,,,,,,,,,,,,
2941,PA,Pennsylvania,05,H0PA05094,,Dasha,Pruett,"Pruett, Dasha",,R,31734,60.9987697985545%,,,139552,35.2609729412865%,,,,,W,,
2942,PA,Pennsylvania,05,H0PA05102,,Rob,Jordan,"Jordan, Rob",,R,19890,38.2323542980163%,,,,,,,,,,,
2943,PA,Pennsylvania,05,n/a,,,Scattered,Scattered,,W(R),400,0.768875903429187%,,,,,,,,,,,
2944,PA,Pennsylvania,05,n/a,,,,,Party Votes:,R,52024,,,,,,,,,,,,
2945,PA,Pennsylvania,05,n/a,,,Scattered,Scattered,,W,,,,,474,0.119766833683285%,,,,,,,
2946,PA,Pennsylvania,05,n/a,,,,,District Votes:,,155594,,,,395769,,,,,,,,
2947,PA,Pennsylvania,06,H8PA06087,(I),Chrissy,Houlahan,"Houlahan, Chrissy",,D,89411,99.5690327178779%,,,226440,55.9915730753824%,,,,,W,W,
2948,PA,Pennsylvania,06,n/a,,,Scattered,Scattered,,W(D),387,0.430967282122096%,,,,,,,,,,,
2949,PA,Pennsylvania,06,n/a,,,,,Party Votes:,D,89798,,,,,,,,,,,,
2950,PA,Pennsylvania,06,H0PA06167,,John Willam,Emmons,"Emmons, John Willam",,R,56928,98.7835985354596%,,,177526,43.8966613751119%,,,,,W,,
2951,PA,Pennsylvania,06,n/a,,,Scattered,Scattered,,W(R),701,1.21640146454042%,,,,,,,,,,,
2952,PA,Pennsylvania,06,n/a,,,,,Party Votes:,R,57629,,,,,,,,,,,,
2953,PA,Pennsylvania,06,n/a,,,Scattered,Scattered,,W,,,,,452,0.111765549505709%,,,,,,,
2954,PA,Pennsylvania,06,n/a,,,,,District Votes:,,147427,,,,404418,,,,,,,,
2955,PA,Pennsylvania,07,H8PA15229,(I),Susan,Wild,"Wild, Susan",,D,76878,100%,,,195475,51.7946285677947%,,,,,W,W,
2956,PA,Pennsylvania,07,n/a,,,,,Party Votes:,D,76878,,,,,,,,,,,,
2957,PA,Pennsylvania,07,H0PA07132,,Lisa,Scheller,"Scheller, Lisa",,R,29673,52.1191576063092%,,,181407,48.0670581127916%,,,,,W,,
2958,PA,Pennsylvania,07,H8PA15260,,Dean N.,Browning,"Browning, Dean N.",,R,27260,47.8808423936908%,,,,,,,,,,,
2959,PA,Pennsylvania,07,n/a,,,,,Party Votes:,R,56933,,,,,,,,,,,,
2960,PA,Pennsylvania,07,n/a,,,Scattered,Scattered,,W,,,,,522,0.138313319413679%,,,,,,,
2961,PA,Pennsylvania,07,n/a,,,,,District Votes:,,133811,,,,377404,,,,,,,,
2962,PA,Pennsylvania,08,H2PA17079,(I),Matthew Alton,Cartwright,"Cartwright, Matthew Alton",,D,75101,100%,,,178004,51.7106245515366%,,,,,W,W,
2963,PA,Pennsylvania,08,n/a,,,,,Party Votes:,D,75101,,,,,,,,,,,,
2964,PA,Pennsylvania,08,H0PA08221,,Jim,Bognet,"Bognet, Jim",,R,16281,28.4314752724225%,,,165783,48.1603922947091%,,,,,W,,
2965,PA,Pennsylvania,08,H0PA08197,,Teddy,Daniels,"Daniels, Teddy",,R,13560,23.6797988264878%,,,,,,,,,,,
2966,PA,Pennsylvania,08,H0PA08205,,Earl,Granville,"Granville, Earl",,R,13283,23.1960743224364%,,,,,,,,,,,
2967,PA,Pennsylvania,08,H0PA08213,,Mike,Marsicano,"Marsicano, Mike",,R,7404,12.929589270746%,,,,,,,,,,,
2968,PA,Pennsylvania,08,H0PA08189,,Harry,Haas,"Haas, Harry",,R,5369,9.37587314892428%,,,,,,,,,,,
2969,PA,Pennsylvania,08,H0PA08239,,Mike,Cammisa,"Cammisa, Mike",,R,1367,2.38718915898296%,,,,,,,,,,,
2970,PA,Pennsylvania,08,n/a,,,,,Party Votes:,R,57264,,,,,,,,,,,,
2971,PA,Pennsylvania,08,n/a,,,Scattered,Scattered,,W,,,,,444,0.12898315375431%,,,,,,,
2972,PA,Pennsylvania,08,n/a,,,,,District Votes:,,132365,,,,344231,,,,,,,,
2973,PA,Pennsylvania,09,H8PA10147,(I),Dan,Meuser,"Meuser, Dan",,R,77350,99.7369574747918%,,,232988,66.2584782515961%,,,,,W,W,
2974,PA,Pennsylvania,09,n/a,,,Scattered,Scattered,,W(R),204,0.263042525208242%,,,,,,,,,,,
2975,PA,Pennsylvania,09,n/a,,,,,Party Votes:,R,77554,,,,,,,,,,,,
2976,PA,Pennsylvania,09,H6PA16338,,Gary,Wegman,"Wegman, Gary",,D,27451,50.8643851099705%,,,118266,33.6331707594523%,,,,,W,,
2977,PA,Pennsylvania,09,H8PA09081,,Laura,Quick,"Quick, Laura",,D,26385,48.8891771201986%,,,,,,,,,,,
2978,PA,Pennsylvania,09,n/a,,,Scattered,Scattered,,W(D),133,0.246437769830829%,,,,,,,,,,,
2979,PA,Pennsylvania,09,n/a,,,,,Party Votes:,D,53969,,,,,,,,,,,,
2980,PA,Pennsylvania,09,n/a,,,Scattered,Scattered,,W,,,,,381,0.108350988951612%,,,,,,,
2981,PA,Pennsylvania,09,n/a,,,,,District Votes:,,131523,,,,351635,,,,,,,,
2982,PA,Pennsylvania,10,H2PA04135,(I),Scott,Perry,"Perry, Scott",,R,79365,99.5422049416782%,,,208896,53.2447009165707%,,,,,W,W,
2983,PA,Pennsylvania,10,n/a,,,Scattered,Scattered,,W(R),365,0.457795058321836%,,,,,,,,,,,
2984,PA,Pennsylvania,10,n/a,,,,,Party Votes:,R,79730,,,,,,,,,,,,
2985,PA,Pennsylvania,10,H0PA10110,,Eugenio,DePasquale,"DePasquale, Eugenio",,D,45453,57.3858041057496%,,,182938,46.6283657718463%,,,,,W,,
2986,PA,Pennsylvania,10,H0PA10102,,Tom,Brier,"Brier, Tom",,D,33661,42.4980430775446%,,,,,,,,,,,
2987,PA,Pennsylvania,10,n/a,,,Scattered,Scattered,,W(D),92,0.116152816705805%,,,,,,,,,,,
2988,PA,Pennsylvania,10,n/a,,,,,Party Votes:,D,79206,,,,,,,,,,,,
2989,PA,Pennsylvania,10,n/a,,,Scattered,Scattered,,W,,,,,498,0.126933311583047%,,,,,,,
2990,PA,Pennsylvania,10,n/a,,,,,District Votes:,,158936,,,,392332,,,,,,,,
2991,PA,Pennsylvania,11,H6PA16320,(I),Lloyd K.,Smucker,"Smucker, Lloyd K.",,R,78842,100%,,,241915,63.0589652089367%,,,,,W,W,
2992,PA,Pennsylvania,11,n/a,,,,,Party Votes:,R,78842,,,,,,,,,,,,
2993,PA,Pennsylvania,11,H0PA11183,,Sarah E.,Hammond,"Hammond, Sarah E.",,D,39038,72.3274169044355%,,,141325,36.8385931345844%,,,,,W,,
2994,PA,Pennsylvania,11,H0PA11191,,Paul,Daigle,"Daigle, Paul",,D,14936,27.6725830955645%,,,,,,,,,,,
2995,PA,Pennsylvania,11,n/a,,,,,Party Votes:,D,53974,,,,,,,,,,,,
2996,PA,Pennsylvania,11,n/a,,,Scattered,Scattered,,W,,,,,393,0.102441656478979%,,,,,,,
2997,PA,Pennsylvania,11,n/a,,,,,District Votes:,,132816,,,,383633,,,,,,,,
2998,PA,Pennsylvania,12,H0PA12181,(I),Fred,Keller,"Keller, Fred",,R,87886,99.7933415088341%,,,241035,70.7123306157534%,,,,,W,W,
2999,PA,Pennsylvania,12,n/a,,,Scattered,Scattered,,W(R),182,0.206658491165917%,,,,,,,,,,,
3000,PA,Pennsylvania,12,n/a,,,,,Party Votes:,R,88068,,,,,,,,,,,,
3001,PA,Pennsylvania,12,H0PA12199,,Lee,Griffin,"Griffin, Lee",,D,41313,99.6670767894623%,,,99199,29.1019664561251%,,,,,W,,
3002,PA,Pennsylvania,12,n/a,,,Scattered,Scattered,,W(D),138,0.332923210537743%,,,,,,,,,,,
3003,PA,Pennsylvania,12,n/a,,,,,Party Votes:,D,41451,,,,,,,,,,,,
3004,PA,Pennsylvania,12,n/a,,,Scattered,Scattered,,W,,,,,633,0.185702928121525%,,,,,,,
3005,PA,Pennsylvania,12,n/a,,,,,District Votes:,,129519,,,,340867,,,,,,,,
3006,PA,Pennsylvania,13,H8PA13125,(I),John ,Joyce,"Joyce, John ",,R,94171,99.4109512398526%,,,267789,73.4259924432283%,,,,,W,W,
3007,PA,Pennsylvania,13,n/a,,,Scattered,Scattered,,W(R),558,0.589048760147368%,,,,,,,,,,,
3008,PA,Pennsylvania,13,n/a,,,,,Party Votes:,R,94729,,,,,,,,,,,,
3009,PA,Pennsylvania,13,H0PA13114,,Todd,Rowley,"Rowley, Todd",,D,41988,98.63515703916%,,,96612,26.4903785514908%,,,,,W,,
3010,PA,Pennsylvania,13,n/a,,,Scattered,Scattered,,W(D),581,1.36484296084005%,,,,,,,,,,,
3011,PA,Pennsylvania,13,n/a,,,,,Party Votes:,D,42569,,,,,,,,,,,,
3012,PA,Pennsylvania,13,n/a,,,Scattered,Scattered,,W,,,,,305,0.083629005280966%,,,,,,,
3013,PA,Pennsylvania,13,n/a,,,,,District Votes:,,137298,,,,364706,,,,,,,,
3014,PA,Pennsylvania,14,H8PA18199,(I),Guy,Reschenthaler,"Reschenthaler, Guy",,R,66671,99.8726706213674%,,,241688,64.6231510497438%,,,,,W,W,
3015,PA,Pennsylvania,14,n/a,,,Scattered,Scattered,,W(R),85,0.127329378632632%,,,,,,,,,,,
3016,PA,Pennsylvania,14,n/a,,,,,Party Votes:,R,66756,,,,,,,,,,,,
3017,PA,Pennsylvania,14,H0PA14138,,Bill,Marx,"Marx, Bill",,D,70468,99.6521198065447%,,,131895,35.2664199617108%,,,,,W,,
3018,PA,Pennsylvania,14,n/a,,,Scattered,Scattered,,W(D),246,0.347880193455327%,,,,,,,,,,,
3019,PA,Pennsylvania,14,n/a,,,,,Party Votes:,D,70714,,,,,,,,,,,,
3020,PA,Pennsylvania,14,n/a,,,Scattered,Scattered,,W,,,,,413,0.110428988545332%,,,,,,,
3021,PA,Pennsylvania,14,n/a,,,,,District Votes:,,137470,,,,373996,,,,,,,,
3022,PA,Pennsylvania,15,H8PA05071,(I),Glenn GT,Thompson,"Thompson, Glenn GT",,R,88364,99.6245645286763%,,,255058,73.3819366124243%,,,,,W,W,
3023,PA,Pennsylvania,15,n/a,,,Scattered,Scattered,,W(R),333,0.37543547132372%,,,,,,,,,,,
3024,PA,Pennsylvania,15,n/a,,,,,Party Votes:,R,88697,,,,,,,,,,,,
3025,PA,Pennsylvania,15,H0PA15127,,Robert,Williams,"Williams, Robert",,D,48714,98.4479204559234%,,,92156,26.5139135038092%,,,,,W,,
3026,PA,Pennsylvania,15,n/a,,,Scattered,Scattered,,W(D),768,1.55207954407663%,,,,,,,,,,,
3027,PA,Pennsylvania,15,n/a,,,,,Party Votes:,D,49482,,,,,,,,,,,,
3028,PA,Pennsylvania,15,n/a,,,Scattered,Scattered,,W,,,,,362,0.104149883766428%,,,,,,,
3029,PA,Pennsylvania,15,n/a,,,,,District Votes:,,138179,,,,347576,,,,,,,,
3030,PA,Pennsylvania,16,H0PA03271,(I),Mike,Kelly,"Kelly, Mike",,R,68199,99.1062865114657%,,,210088,59.2794079056893%,,,,,W,W,
3031,PA,Pennsylvania,16,n/a,,,Scattered,Scattered,,W(R),615,0.89371348853431%,,,,,,,,,,,
3032,PA,Pennsylvania,16,n/a,,,,,Party Votes:,R,68814,,,,,,,,,,,,
3033,PA,Pennsylvania,16,H0PA16034,,Kristy,Gnibus,"Gnibus, Kristy",,D,63640,99.2854691254017%,,,143962,40.6209879713208%,,,,,W,,
3034,PA,Pennsylvania,16,n/a,,,Scattered,Scattered,,W(D),458,0.714530874598272%,,,,,,,,,,,
3035,PA,Pennsylvania,16,n/a,,,,,Party Votes:,D,64098,,,,,,,,,,,,
3036,PA,Pennsylvania,16,n/a,,,Scattered,Scattered,,W,,,,,353,0.0996041229899295%,,,,,,,
3037,PA,Pennsylvania,16,n/a,,,,,District Votes:,,132912,,,,354403,,,,,,,,
3038,PA,Pennsylvania,17,H8PA18181,(I),Conor,Lamb,"Lamb, Conor",,D,111828,98.4973664276781%,,,222253,51.1034517645111%,,,,,W,W,
3039,PA,Pennsylvania,17,n/a,,,Scattered,Scattered,,W(D),1706,1.50263357232195%,,,,,,,,,,,
3040,PA,Pennsylvania,17,n/a,,,,,Party Votes:,D,113534,,,,,,,,,,,,
3041,PA,Pennsylvania,17,H0PA17115,,Sean,Parnell,"Parnell, Sean",,R,60253,98.5331152902698%,,,212284,48.8112428375656%,,,,,W,,
3042,PA,Pennsylvania,17,n/a,,,Scattered,Scattered,,W(R),897,1.46688470973017%,,,,,,,,,,,
3043,PA,Pennsylvania,17,n/a,,,,,Party Votes:,R,61150,,,,,,,,,,,,
3044,PA,Pennsylvania,17,n/a,,,Scattered,Scattered,,W,,,,,371,0.0853053979232389%,,,,,,,
3045,PA,Pennsylvania,17,n/a,,,,,District Votes:,,174684,,,,434908,,,,,,,,
3046,PA,Pennsylvania,18,H4PA18131,(I),Mike,Doyle,"Doyle, Mike",,D,90353,66.8929674023292%,,,266084,69.1019581363943%,,,,,W,W,
3047,PA,Pennsylvania,18,H0PA18097,,Jerry S.,Dickinson,"Dickinson, Jerry S.",,D,44170,32.7013200464941%,,,,,,,,,,,
3048,PA,Pennsylvania,18,n/a,,,Scattered,Scattered,,W(D),548,0.405712551176789%,,,,,,,,,,,
3049,PA,Pennsylvania,18,n/a,,,,,Party Votes:,D,135071,,,,,,,,,,,,
3050,PA,Pennsylvania,18,H0PA18113,,Luke Edison,Negron,"Negron, Luke Edison",,R,30497,97.4874532493687%,,,118163,30.6869059367371%,,,,,W,,
3051,PA,Pennsylvania,18,n/a,,,Scattered,Scattered,,W(R),786,2.51254675063133%,,,,,,,,,,,
3052,PA,Pennsylvania,18,n/a,,,,,Party Votes:,R,31283,,,,,,,,,,,,
3053,PA,Pennsylvania,18,n/a,,,Scattered,Scattered,,W,,,,,813,0.21113592686854%,,,,,,,
3054,PA,Pennsylvania,18,n/a,,,,,District Votes:,,166354,,,,385060,,,,,,,,
3055,PA,Pennsylvania,H,n/a,,,,,Total State Votes:,,2616732,,,,6787875,,,,,,,,
3056,,,,n/a,,,,,,,,,,,,,,,,,,,
3057,PR,Puerto Rico,00,H6PR00082,(I),Jenniffer,Gonz lez Colon,"Gonz lez Colon, Jenniffer",,NPP,Unopposed,,,,512697,41.1443938328791%,,,,,W,W,
3058,PR,Puerto Rico,00,H8PR00054,,Anibal,Acevedo Vil ,"Acevedo Vil , Anibal",,PPD,Unopposed,,,,400412,32.133421930323%,,,,,W,,
3059,PR,Puerto Rico,00,H0PR01042,,Zayira,Jord n Conde,"Jord n Conde, Zayira",,MVC,Unopposed,,,,157679,12.6538810938518%,,,,,W,,
3060,PR,Puerto Rico,00,H0PR01059,,Ada Norah,Henriquez,"Henriquez, Ada Norah",,PD,Unopposed,,,,95873,7.69389419079811%,,,,,W,,
3061,PR,Puerto Rico,00,H0PR00085,,Luis Roberto,Pi¤ero,"Pi¤ero, Luis Roberto",,PRI,Unopposed,,,,78503,6.29993612028646%,,,,,W,,
3062,PR,Puerto Rico,00,n/a,,,Scattered,Scattered,,W,,,,,928,0.0744728318615319%,,,,,,,
3063,PR,Puerto Rico,00,n/a,,,,,District Votes:,,,,,,1246092,,,,,,,,
3064,PR,Puerto Rico,H,n/a,,,,,Total State Votes:,,,,,,1246092,,,,,,,,
3065,,,,n/a,,,,,,,,,,,,,,,,,,,
3066,RI,Rhode Island,01,H0RI01073,(I),David N.,Cicilline,"Cicilline, David N.",,D,25234,100%,,,158550,70.8255159474672%,,,,,W,W,
3067,RI,Rhode Island,01,n/a,,,,,Party Votes:,D,25234,,,,,,,,,,,,
3068,RI,Rhode Island,01,H8RI01092,,Frederick,Wysocki,"Wysocki, Frederick",,IND,,,,,35457,15.8389171803806%,,,,,,,
3069,RI,Rhode Island,01,H6RI01138,,Jeffrey Edward,Lemire,"Lemire, Jeffrey Edward",,IND,,,,,28300,12.6418297150004%,,,,,,,
3070,RI,Rhode Island,01,n/a,,,Scattered,Scattered,,W,,,,,1553,0.693737157151791%,,,,,,,
3071,RI,Rhode Island,01,n/a,,,,,District Votes:,,25234,,,,223860,,,,,,,,
3072,RI,Rhode Island,02,H0RI02139,(I),James R.,Langevin,"Langevin, James R.",,D,31607,70.0944735208019%,,,154086,58.2430251325801%,,,,,W,W,
3073,RI,Rhode Island,02,H0RI02295,,Dylan,Conley,"Conley, Dylan",,D,13485,29.9055264791981%,,,,,,,,,,,
3074,RI,Rhode Island,02,n/a,,,,,Party Votes:,D,45092,,,,,,,,,,,,
3075,RI,Rhode Island,02,H0RI02287,,Robert B.,Lancia,"Lancia, Robert B.",,R,7485,73.4543670264966%,,,109894,41.5388744202573%,,,,,W,,
3076,RI,Rhode Island,02,H0RI02246,,Donald Frederick,Robbio,"Robbio, Donald Frederick",,R,2705,26.5456329735034%,,,,,,,,,,,
3077,RI,Rhode Island,02,n/a,,,,,Party Votes:,R,10190,,,,,,,,,,,,
3078,RI,Rhode Island,02,n/a,,,Scattered,Scattered,,W,,,,,577,0.218100447162615%,,,,,,,
3079,RI,Rhode Island,02,n/a,,,,,District Votes:,,55282,,,,264557,,,,,,,,
3080,RI,Rhode Island,H,n/a,,,,,Total State Votes:,,80516,,,,488417,,,,,,,,
3081,,,,n/a,,,,,,,,,,,,,,,,,,,
3082,SC,South Carolina,01,H0SC01394,,Nancy,Mace,"Mace, Nancy",,R,48411,57.4781834372217%,,,216042,50.5821671649758%,,,,,W,W,
3083,SC,South Carolina,01,H0SC01386,,Kathy ,Landing,"Landing, Kathy ",,R,21835,25.924606708222%,,,,,,,,,,,
3084,SC,South Carolina,01,H0SC01402,,Chris,Cox,"Cox, Chris",,R,8179,9.71089344018997%,,,,,,,,,,,
3085,SC,South Carolina,01,H0SC01428,,Brad,Mole,"Mole, Brad",,R,5800,6.88631641436628%,,,,,,,,,,,
3086,SC,South Carolina,01,n/a,,,,,Party Votes:,R,84225,,,,,,,,,,,,
3087,SC,South Carolina,01,H8SC01116,(I),Joe,Cunningham,"Cunningham, Joe",,D,Unopposed,,,,210627,49.3143468559695%,,,,,W,,
3088,SC,South Carolina,01,n/a,,,Scattered,Scattered,,W,,,,,442,0.103485979054625%,,,,,,,
3089,SC,South Carolina,01,n/a,,,,,District Votes:,,84225,,,,427111,,,,,,,,
3090,SC,South Carolina,02,H2SC02059,(I),Joe,Wilson,"Wilson, Joe",,R,55557,74.1214611628465%,,,202715,55.6580591134357%,,,,,W,W,
3091,SC,South Carolina,02,H0SC02095 ,,Michael,Bishop,"Bishop, Michael",,R,19397,25.8785388371535%,,,,,,,,,,,
3092,SC,South Carolina,02,n/a,,,,,Party Votes:,R,74954,,,,,,,,,,,,
3093,SC,South Carolina,02,H0SC02061,,Adair Ford,Boroughs,"Boroughs, Adair Ford",,D,Unopposed,,,,155118,42.5896791730159%,,,,,W,,
3094,SC,South Carolina,02,H0SC02103,,Kathleen K.,Wright,"Wright, Kathleen K.",,CON,*,,,,6163,1.69213239432753%,,,,,*,,"*  The Alliance and Constitution Parties nominated by convention on April 18, 2020, and the Libertarian Party nominated by convention on June 13, 2020.  Convention nominees are noted with an asterisk."
3095,SC,South Carolina,02,n/a,,,Scattered,Scattered,,W,,,,,219,0.0601293192207899%,,,,,,,
3096,SC,South Carolina,02,H8SC02122,,Sonny,Narang,"Narang, Sonny",,ALL,#,,,,,,,,,,#,,"# Sonny Narang was nominated by the Alliance Party, but withdrew on August 16, 2020."
3097,SC,South Carolina,02,"H0SC02103
",,Kathleen K.,Wright,"Wright, Kathleen K.",,CON,*,,,,,,,,,,,,
3098,SC,South Carolina,02,n/a,,,,,District Votes:,,74954,,,,364215,,,,,,,,
3099,SC,South Carolina,03,H0SC03077,(I),Jeff,Duncan,"Duncan, Jeff",,R,Unopposed,,,,237544,71.2139199673826%,,,,,W,W,
3100,SC,South Carolina,03,H4SC03111,,Hosea,Cleveland,"Cleveland, Hosea",,D,11769,57.3482116752753%,,,95712,28.693743929201%,,,,,W,,
3101,SC,South Carolina,03,H0SC03150,,Mark D.,Welch,"Welch, Mark D.",,D,8753,42.6517883247247%,,,,,,,,,,,
3102,SC,South Carolina,03,n/a,,,,,Party Votes:,D,20522,,,,,,,,,,,,
3103,SC,South Carolina,03,n/a,,,Scattered,Scattered,,W,,,,,308,0.0923361034164358%,,,,,,,
3104,SC,South Carolina,03,n/a,,,,,District Votes:,,20522,,,,333564,,,,,,,,
3105,SC,South Carolina,04,H8SC04250,(I),William,Timmons,"Timmons, William",,R,Unopposed,,,,222126,61.6075440299542%,,,,,W,W,
3106,SC,South Carolina,04,H0SC04281,,Kim,Nelson,"Nelson, Kim",,D,Unopposed,,,,133023,36.8944667868534%,,,,,W,,
3107,SC,South Carolina,04,H2SC04121,,Michael,Chandler,"Chandler, Michael",,CON,*,,,,5090,1.41173207599501%,,,,,*,,"*  The Alliance and Constitution Parties nominated by convention on April 18, 2020, and the Libertarian Party nominated by convention on June 13, 2020.  Convention nominees are noted with an asterisk."
3108,SC,South Carolina,04,n/a,,,Scattered,Scattered,,W,,,,,311,0.213044341994396%,,,,,,,
3109,SC,South Carolina,04,n/a,,,,,District Votes:,,,,,,360550,,,,,,,,
3110,SC,South Carolina,05,H8SC05158,(I),Ralph ,Norman,"Norman, Ralph ",,R,Unopposed,,,,220006,60.0685855326027%,,,,,W,W,
3111,SC,South Carolina,05,H0SC05056,,Moe ,Brown,"Brown, Moe ",,D,32018,67.9138827023014%,,,145979,39.856876846376%,,,,,W,,
3112,SC,South Carolina,05,H8SC05265,,Sidney A.,Moore,"Moore, Sidney A.",,D,15127,32.0861172976986%,,,,,,,,,,,
3113,SC,South Carolina,05,n/a,,,,,Party Votes:,D,47145,,,,,,,,,,,,
3114,SC,South Carolina,05,n/a,,,Scattered,Scattered,,W,,,,,273,0.0745376210212473%,,,,,,,
3115,SC,South Carolina,05,n/a,,,,,District Votes:,,47145,,,,366258,,,,,,,,
3116,SC,South Carolina,06,H2SC02042,(I),James E. (Jim),Clyburn,"Clyburn, James E. (Jim)",,D,Unopposed,,,,197477,68.1770946615433%,,,,,W,W,
3117,SC,South Carolina,06,"H0SC06237
",,John,McCollum,"McCollum, John",,R,Unopposed,,,,89258,30.8154930209596%,,,,,W,,
3118,SC,South Carolina,06,H0SC06245 ,,Mark ,Hackett,"Hackett, Mark ",,CON,*,,,,2646,0.913506851301385%,,,,,*,,"*  The Alliance and Constitution Parties nominated by convention on April 18, 2020, and the Libertarian Party nominated by convention on June 13, 2020.  Convention nominees are noted with an asterisk."
3119,SC,South Carolina,06,n/a,,,Scattered,Scattered,,W,,,,,272,0.0939054661957584%,,,,,,,
3120,SC,South Carolina,06,n/a,,,,,District Votes:,,,,,,289653,,,,,,,,
3121,SC,South Carolina,07,H2SC07066,(I),Tom ,Rice,"Rice, Tom ",,R,Unopposed,,,,224993,61.7958147825681%,,,,,W,W,
3122,SC,South Carolina,07,H0SC07029,,Melissa Ward,Watson,"Watson, Melissa Ward",,D,27200,51.2356841470766%,,,138863,38.1396409139473%,,,,,W,,
3123,SC,South Carolina,07,H8SC07063,,Robert,Williams,"Williams, Robert",,D,21923,41.295584689572%,,,,,,,,,,,
3124,SC,South Carolina,07,H0SC07037,,William H. Cowboy,Williams,"Williams, William H. Cowboy",,D,3965,7.46873116335142%,,,,,,,,,,,
3125,SC,South Carolina,07,n/a,,,,,Party Votes:,D,53088,,,,,,,,,,,,
3126,SC,South Carolina,07,n/a,,,Scattered,Scattered,,W,,,,,235,0.0645443034845684%,,,,,,,
3127,SC,South Carolina,07,n/a,,,,,District Votes:,,53088,,,,364091,,,,,,,,
3128,SC,South Carolina,H,n/a,,,,,Total State Votes:,,279934,,,,2505442,,,,,,,,
3129,,,,n/a,,,,,,,,,,,,,,,,,,,
3130,SD,South Dakota,00,H8SD01055,(I),Dusty,Johnson,"Johnson, Dusty",,R,71496,76.6507638702761%,,,321984,80.9550149346796%,,,,,W,W,
3131,SD,South Dakota,00,H0SD01094,,Liz Marty,May,"May, Liz Marty",,R,21779,23.3492361297239%,,,,,,,,,,,
3132,SD,South Dakota,00,n/a,,,,,Party Votes:,R,93275,,,,,,,,,,,,
