1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
161,AZ,Arizona,08,n/a,,,,,Party Votes:,R,83084,,,,,,,,,,,
162,AZ,Arizona,08,H2AZ06197,,Mark,Salazar,"Salazar, Mark",,W(GRE)/GRE,27,100%,,,93954,31.4257904612822%,,,,,,
163,AZ,Arizona,08,n/a,,,,,Party Votes:,GRE,27,,,,,,,,,,,
164,AZ,Arizona,08,H6AZ08194,,Joe,DeVivo,"DeVivo, Joe",,W(D),640,100%,,,,,,,,,,
165,AZ,Arizona,08,n/a,,,,,Party Votes:,D,640,,,,,,,,,,,
166,AZ,Arizona,08,H6AZ08202,,"Hayden, III",Keener,"Keener, Hayden, III",,W,,,,,75,0.0250860451348124%,,,,,,
167,AZ,Arizona,08,n/a,,,,,District Votes:,,83751,,,,298971,,,,,,,
168,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
169,AZ,Arizona,09,H2AZ09019 ,(I),Kyrsten,Sinema,"Sinema, Kyrsten",,D,38948,100%,,,169055,60.9191840205833%,,,,,W,
170,AZ,Arizona,09,n/a,,,,,Party Votes:,D,38948,,,,,,,,,,,
171,AZ,Arizona,09,H6AZ09010,,Dave,Giles,"Giles, Dave",,R,25963,60.6895745675549%,,,108350,39.0440601498341%,,,,,,
172,AZ,Arizona,09,H6AZ09036 ,,John,Agra,"Agra, John",,R,16817,39.3104254324451%,,,,,,,,,,
173,AZ,Arizona,09,n/a,,,,,Party Votes:,R,42780,,,,,,,,,,,
174,AZ,Arizona,09,H6AZ09051,,Mike,Shipley,"Shipley, Mike",,W(LIB),210,100%,,,,,,,,,,
175,AZ,Arizona,09,n/a,,,,,Party Votes:,LIB,210,,,,,,,,,,,
176,AZ,Arizona,09,H6AZ09069,,Cary,Dolego,"Dolego, Cary",,W,,,,,56,0.0201796711434306%,,,,,,
177,AZ,Arizona,09,H6AZ09077,,Axel,Bello,"Bello, Axel",,W,,,,,46,0.0165761584392466%,,,,,,
178,AZ,Arizona,09,n/a,,,,,District Votes:,,81938,,,,277507,,,,,,,
179,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
180,AZ,Arizona,H,n/a,,,,,Total State Votes:,,823608,,,,2412064,,,,,,,
181,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
182,,,,n/a,,,,,,,,,,,,,,,,,,
183,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
184,AR,Arkansas,01,H0AR01083,(I),Rick ,Crawford,"Crawford, Rick ",,R,Unopposed,,,,183866,76.2780702518596%,,,,,W,
185,AR,Arkansas,01,H6AR01114,,Mark ,West,"West, Mark ",,LIB,,,,,57181,23.7219297481404%,,,,,,
186,AR,Arkansas,01,n/a,,,,,District Votes:,,,,,,241047,,,,,,,
187,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
188,AR,Arkansas,02,H4AR02141,(I),French,Hill,"Hill, French",,R,86474,84.5422104902967%,,,176472,58.3447947524334%,,,,,W,
189,AR,Arkansas,02,H6AR02252 ,,Brock,Olree,"Olree, Brock",,R,15811,15.4577895097033%,,,,,,,,,,
190,AR,Arkansas,02,n/a,,,,,Party Votes:,R,102285,,,,,,,,,,,
191,AR,Arkansas,02,H6AR02245 ,,Dianne ,Curry,"Curry, Dianne ",,D,Unopposed,,,,111347,36.8133067075751%,,,,,,
192,AR,Arkansas,02,H2AR02061,,Chris,Hayes,"Hayes, Chris",,LIB,,,,,14342,4.7417213288193%,,,,,,
193,AR,Arkansas,02,n/a,,,Scattered,Scattered,,W,,,,,303,0.100177211172239%,,,,,,
194,AR,Arkansas,02,n/a,,,,,District Votes:,,102285,,,,302464,,,,,,,
195,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
196,AR,Arkansas,03,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,Unopposed,,,,217192,77.3181159600864%,,,,,W,
197,AR,Arkansas,03,H6AR03110,,Steve,Isaacson,"Isaacson, Steve",,LIB,,,,,63715,22.6818840399136%,,,,,,
198,AR,Arkansas,03,n/a,,,,,District Votes:,,,,,,280907,,,,,,,
199,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
200,AR,Arkansas,04,H4AR04048,(I),Bruce,Westerman,"Westerman, Bruce",,R,Unopposed,,,,182885,74.904058420947%,,,,,W,
201,AR,Arkansas,04,H6AR04076,,Kerry,Hicks,"Hicks, Kerry",,LIB,,,,,61274,25.095941579053%,,,,,,
202,AR,Arkansas,04,n/a,,,,,District Votes:,,,,,,244159,,,,,,,
203,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
204,AR,Arkansas,H,n/a,,,,,Total State Votes:,,102285,,,,1068577,,,,,,,
205,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,
206,,,,n/a,,,,,,,,,,,,,,,,,,
207,CA,California,01,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",,R,86136,40.7906575869221%,,,185448,59.0531021921054%,,,,,W,
208,CA,California,01,H6CA01194,,Jim,Reed,"Reed, Jim",,D,59665,28.2550221153027%,,,128588,40.9468978078946%,,,,,,
209,CA,California,01,H6CA01186,,Joe,Montes,"Montes, Joe",,R,35875,16.9890039116146%,,,,,,,,,,
210,CA,California,01,H6CA01202 ,,David,Peterson,"Peterson, David",,D,13430,6.35992536677306%,,,,,,,,,,
211,CA,California,01,H2CA01151,,Gary Allen,Oxley,"Oxley, Gary Allen",,R,6885,3.26046806777606%,,,,,,,,,,
212,CA,California,01,H4CA04110,,Jeff,Gerlach,"Gerlach, Jeff",,NOP,4958,2.34791585766648%,,,,,,,,,,
213,CA,California,01,H2CA01136,,Gregory,Cheadle,"Cheadle, Gregory",,R,4217,1.99700709394505%,,,,,,,,,,
214,CA,California,01,n/a,,,,,District Votes:,,211166,,,,314036,,,,,,,
215,CA,California,01,n/a,,,,,,,,,,,,,,,,,,
216,CA,California,02,H2CA06259 ,(I),Jared W.,Huffman,"Huffman, Jared W.",,D,157897,68.3004585171728%,,,254194,76.8500994660878%,,,,,W,
217,CA,California,02,H4CA02098 ,,Dale K.,Mensing,"Mensing, Dale K.",,R,36187,15.653170689506%,,,76572,23.1499005339122%,,,,,,
218,CA,California,02,H6CA02234,,Erin A.,Schrode,"Schrode, Erin A.",,D,20998,9.08296565446838%,,,,,,,,,,
219,CA,California,02,H6CA02242,,Matthew Robert ,Wookey,"Wookey, Matthew Robert ",,NOP,16092,6.96080975862964%,,,,,,,,,,
220,CA,California,02,H6CA02226,,Andrew Augustine ,Caffrey,"Caffrey, Andrew Augustine ",,W(D),6,0.0025953802232027%,,,,,,,,,,
221,CA,California,02,n/a,,,,,District Votes:,,231180,,,,330766,,,,,,,
222,CA,California,02,n/a,,,,,,,,,,,,,,,,,,
223,CA,California,03,H0CA10149 ,(I),John G.,Garamendi,"Garamendi, John G.",,D,98430,63.1074808298926%,,,152513,59.3514317069184%,,,,,W,
224,CA,California,03,H6CA03117 ,,N. Eugene,Cleek,"Cleek, N. Eugene",,R,37843,24.2626881748006%,,,104453,40.6485682930816%,,,,,,
225,CA,California,03,H6CA03125 ,,Ryan ,Detert,"Detert, Ryan ",,R,19699,12.6298309953069%,,,,,,,,,,
226,CA,California,03,n/a,,,,,District Votes:,,155972,,,,256966,,,,,,,
227,CA,California,03,n/a,,,,,,,,,,,,,,,,,,
228,CA,California,04,H8CA04152 ,(I),Tom,McClintock,"McClintock, Tom",,R,135626,61.4637904468413%,,,220133,62.7198855768738%,,,,,W,
229,CA,California,04,H6CA04156,,Robert W.,Derlet,"Derlet, Robert W.",,D,60574,27.4512825160881%,,,130845,37.2801144231262%,,,,,,
230,CA,California,04,H6CA04164 ,,Sean,White,"White, Sean",,D,24460,11.0849270370706%,,,,,,,,,,
231,CA,California,04,n/a,,,,,District Votes:,,220660,,,,350978,,,,,,,
