1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
118,Alaska,AK,S,n/a,,Eric C.,Kelly,"Kelly, Eric C.",,W,,,,,1,0.000391384836968646%,,,,
119,Alaska,AK,S,n/a,,Bill,Klemme,"Klemme, Bill",,W,,,,,1,0.000391384836968646%,,,,
120,Alaska,AK,S,n/a,,Marjori,Landis-Beck,"Landis-Beck, Marjori",,W,,,,,1,0.000391384836968646%,,,,
121,Alaska,AK,S,n/a,,Anthony,Rice,"Rice, Anthony",,W,,,,,1,0.000391384836968646%,,,,
122,Alaska,AK,S,n/a,,Thompson,Steve,"Steve, Thompson",,W,,,,,1,0.000391384836968646%,,,,
123,Alaska,AK,S,n/a,,Georgia Lee,Tolbert,"Tolbert, Georgia Lee",,W,,,,,1,0.000391384836968646%,,,,
124,Alaska,AK,S,n/a,,,,,Total State Votes:,,145830,,,,257538,,,,,
125,,,,n/a,,,,,,,,,,,,,,,,
126,American Samoa,AS,00,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,DEM,,,,,6182,56.4051094890511%,,,,
127,American Samoa,AS,00,H4AS00036,,Aumua,Amata,"Amata, Aumua",,REP,,,,,4422,40.3467153284672%,,,,
128,American Samoa,AS,00,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,NNE,,,,,356,3.24817518248175%,,,,
129,American Samoa,AS,H,n/a,,,,,District Votes:,,,,,,10960,,,,,
130,American Samoa,AS,H,n/a,,,,,Total Votes:,,,,,,10960,,,,,
131,,,,n/a,,,,,,,,,,,,,,,,
132,Arizona,AZ,01,H0AZ01259,,Paul,Gosar,"Gosar, Paul",,REP,21941,30.7322744208197%,,,112816,49.7166377281661%,,,,
133,Arizona,AZ,01,H2AZ01149,,Sydney,Hay,"Hay, Sydney",,REP,16328,22.8702692102978%,,,,,,,,
134,Arizona,AZ,01,H0AZ01267,,Bradley,Beauchamp,"Beauchamp, Bradley",,REP,11356,15.906098551699%,,,,,,,,
135,Arizona,AZ,01,H0AZ01275,,"Russell ""Rusty""",Bowers,"Bowers, Russell ""Rusty""",,REP,10552,14.7799534974928%,,,,,,,,
136,Arizona,AZ,01,H0AZ01283,,Steve,Mehta,"Mehta, Steve",,REP,5846,8.1883631677732%,,,,,,,,
137,Arizona,AZ,01,H0AZ01309,,Thomas J.,Zaleski,"Zaleski, Thomas J.",,REP,2105,2.94842703868672%,,,,,,,,
138,Arizona,AZ,01,H0AZ01317,,Jon,Jensen,"Jensen, Jon",,REP,1736,2.43157688321147%,,,,,,,,
139,Arizona,AZ,01,H0AZ01291,,Joe,Jaraczewski,"Jaraczewski, Joe",,REP,1530,2.14303723001933%,,,,,,,,
140,Arizona,AZ,01,n/a,,,,,Party Votes:,REP,71394,,,,,,,,,
141,Arizona,AZ,01,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,DEM,46902,100%,,,99233,43.73077499361%,,,,
142,Arizona,AZ,01,n/a,,,,,Party Votes:,DEM,46902,,,,,,,,,
143,Arizona,AZ,01,H0AZ01341,,Nicole,Patti,"Patti, Nicole",,W(LIB)/LIB,23,100%,,,14869,6.55258727822385%,,,,
144,Arizona,AZ,01,n/a,,,,,Party Votes:,LIB,23,,,,,,,,,
145,Arizona,AZ,01,n/a,,,,,District Votes:,,118319,,,,226918,,,,,
146,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,
147,Arizona,AZ,02,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,REP,81252,80.8702922207182%,,,173173,64.8845609118227%,,,,
148,Arizona,AZ,02,H0AZ02141,,Charles,Black,"Black, Charles",,REP,19220,19.1297077792818%,,,,,,,,
149,Arizona,AZ,02,n/a,,,,,Party Votes:,REP,100472,,,,,,,,,
150,Arizona,AZ,02,H6AZ02155,,John,Thrasher,"Thrasher, John",,DEM,32503,100%,,,82891,31.0576483547776%,,,,
151,Arizona,AZ,02,n/a,,,,,Party Votes:,DEM,32503,,,,,,,,,
