1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (MS Senate),GE RUNOFF ELECTION % (MS Senate),"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
212,CA,California,,n/a,,,,,,,,,,,,,,,,,,
213,CA,California,04,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,109679,51.8402805677527%,,,184401,54.1314647707058%,,,,,W,
214,CA,California,04,H8CA04210,,Jessica,Morse,"Morse, Jessica",,D,42942,20.2967325389586%,,,156253,45.8685352292942%,,,,,,
215,CA,California,04,H8CA04194,,Regina,Bateson,"Bateson, Regina",,D,26303,12.4322331510462%,,,,,,,,,,
216,CA,California,04,H8CA04236,,Mitchell,White,"White, Mitchell",,R,14433,6.82182340679961%,,,,,,,,,,
217,CA,California,04,H8CA04251,,Roza,Calderon,"Calderon, Roza",,D,13621,6.43802789607271%,,,,,,,,,,
218,CA,California,04,H8CA04244,,Robert,Lawton,"Lawton, Robert",,D,4593,2.17090243937023%,,,,,,,,,,
219,CA,California,04,n/a,,,,,District Votes:,,211571,,,,340654,,,,,,,
220,CA,California,,n/a,,,,,,,,,,,,,,,,,,
221,CA,California,05,H8CA01109,(I),Mike ,Thompson,"Thompson, Mike ",,D,121428,79.3253024641355%,,,205860,78.8681240374227%,,,,,W,
