FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
H4AZ02010,AZ,07,Joseph,Sweeney,"Sweeney, Joseph",,R,4781,30.2863296591917%,,,,,,,,
H2AZ07088,AZ,07,Al,Pi¤a,"Pi¤a, Al",,R,2372,15.0259723805904%,,,,,,,,
H2AZ07112,AZ,07,Lori,Lustig,"Lustig, Lori",,R,2207,13.9807424300013%,,,,,,,,
,AZ,07,,,   ,Total Party Votes:,R,15786,,,,,,,,,
H2AZ07138,AZ,07,John L.,Nemeth,"Nemeth, John L.",,LBT,312,100%,,,4088,3.93766013600724%,,,,
,AZ,07,,,   ,Total Party Votes:,LBT,312,,,,,,,,,
,AZ,07,,,   ,Total District Votes:,,52418,,,,103818,,,,,
H2AZ02014,AZ,08,Jim,Kolbe,"Kolbe, Jim",,R,35546,72.4718642961996%,,,126930,63.3294749236634%,,,(I),
H2AZ05082,AZ,08,James (Jim),Behnke,"Behnke, James (Jim)",,R,13502,27.5281357038004%,,,,,,,,
,AZ,08,,,   ,Total Party Votes:,R,49048,,,,,,,,,
H0AZ05037,AZ,08,Mary Judge,Ryan,"Ryan, Mary Judge",,D,32322,100%,,,67328,33.5921128784401%,,,,
,AZ,08,,,   ,Total Party Votes:,D,32322,,,,,,,,,
H2AZ08029 ,AZ,08,Joe,Duarte,"Duarte, Joe",,LBT,453,100%,,,6142,3.06444209391901%,,,,
,AZ,08,,,   ,Total Party Votes:,LBT,453,,,,,,,,,
H2AZ08037,AZ,08,Jim,Dorrance,"Dorrance, Jim",,W,,,,,28,0.0139701039774882%,,,,
,AZ,08,,,   ,Total District Votes:,,81823,,,,200428,,,,,
,AZ,,,,   ,Total State Votes:,,493019,,,,1194400,,,,,
,CA,,,,   ,,,,,,,,,,,,
H8CA01109,CA,01,Mike,Thompson,"Thompson, Mike",,D,64401,100%,,,118669,64.0705986523843%,,,(I),
,CA,01,,,   ,Total Party Votes:,D,64401,,,,,,,,,
H0CA01106,CA,01,Lawrence R.,Wiesner,"Wiesner, Lawrence R.",,R,42616,100%,,,60013,32.4016283690394%,,,,
,CA,01,,,   ,Total Party Votes:,R,42616,,,,,,,,,
H2CA01102,CA,01,Kevin,Bastian,"Bastian, Kevin",,LBT,730,100%,,,6534,3.52777297857637%,,,,
,CA,01,,,   ,Total Party Votes:,LBT,730,,,,,,,,,
,CA,01,,,   ,Total District Votes:,,107747,,,,185216,,,,,
H6CA02010,CA,02,Wally,Herger,"Herger, Wally",,R,71028,88.7694653435649%,,,117747,65.7859597172947%,,,(I),
H2CA02084,CA,02,Al,Thompson,"Thompson, Al",,R,6616,8.26855300322444%,,,,,,,,
H8CA02065,CA,02,Bob,Todd,"Todd, Bob",,R,2370,2.96198165321069%,,,,,,,,
,CA,02,,,   ,Total Party Votes:,R,80014,,,,,,,,,
H2CA02076,CA,02,Mike,Johnson,"Johnson, Mike",,D,25481,60.9258063744829%,,,52455,29.3069251613264%,,,,
H2CA02068,CA,02,Raymond G.,Hennemann,"Hennemann, Raymond G.",,D,16342,39.0741936255171%,,,,,,,,
,CA,02,,,   ,Total Party Votes:,D,41823,,,,,,,,,
H6CA02184,CA,02,Patrice ,Thiessen,"Thiessen, Patrice ",,NL,93,100%,,,4860,2.71531133893902%,,,,
,CA,02,,,   ,Total Party Votes:,NL,93, ,,,,,,,,
H0CA02104,CA,02,Charles R.,Martin,"Martin, Charles R.",,LBT,698,100%,,,3923,2.19180378243987%,,,,
,CA,02,,,   ,Total Party Votes:,LBT,698,,,,,,,,,
,CA,02,,,   ,Total District Votes:,,122628,,,,178985,,,,,
H8CA03105,CA,03,Doug,Ose,"Ose, Doug",,R,67277,100%,,,121732,62.4529289239578%,,,(I),
,CA,03,,,   ,Total Party Votes:,R,67277,,,,,,,,,
H8CA03113,CA,03,Howard,Beeman,"Beeman, Howard",,D,41650,100%,,,67136,34.4432017566361%,,,,
,CA,03,,,   ,Total Party Votes:,D,41650,,,,,,,,,
H8CA05134,CA,03,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LBT,548,100%,,,6050,3.10386931940611%,,,,
,CA,03,,,   ,Total Party Votes:,LBT,548,,,,,,,,,
,CA,03,,,   ,Total District Votes:,,109475,,,,194918,,,,,
H0CA14042,CA,04,John T.,Doolittle,"Doolittle, John T.",,R,79575,77.5146603284693%,,,147997,64.7672271187628%,,,(I),
H2CA04072,CA,04,Bill,Kirby,"Kirby, Bill",,R/W,23083,22.4853396715307%,,,401,0.175487733363675%,,,,
,CA,04,,,   ,Total Party Votes:,R,102658,,,,,,,,,
H0CA04100,CA,04,Mark A.,Norberg,"Norberg, Mark A.",,D,44786,100%,,,72860,31.8853771892204%,,,,
,CA,04,,,   ,Total Party Votes:,D,44786,,,,,,,,,
H2CA04080,CA,04,Allen M.,Roberts,"Roberts, Allen M.",,LBT,716,100%,,,7247,3.17147033338293%,,,,
,CA,04,,,   ,Total Party Votes:,LBT,716,,,,,,,,,
,CA,04,Philip James ,Parisius,"Parisius, Philip James ",,W,,,,,1,0.000437625270233604%,,,,
,CA,04,,,   ,Total District Votes:,,148160,,,,228506,,,,,
H8CA03014,CA,05,Robert T.,Matsui,"Matsui, Robert T.",,D,48355,100%,,,92726,70.4722674003253%,,,(I),
